KNN Não Ponderado (K=1)
1  - 0.9433962264150944 => 0.9434
2  - 0.9245283018867925 => 0.9245
3  - 0.9433962264150944 => 0.9434
4  - 0.8679245283018868 => 0.8679
5  - 0.9622641509433962 => 0.9623
6  - 0.9056603773584906 => 0.9057
7  - 0.9245283018867925 => 0.9245
8  - 0.8867924528301887 => 0.8868
9  - 0.8867924528301887 => 0.8868
10 - 0.9056603773584906 => 0.9057
11 - 0.8867924528301887 => 0.8868
12 - 0.9433962264150944 => 0.9434
13 - 0.8679245283018868 => 0.8679
14 - 0.8867924528301887 => 0.8868
15 - 0.9811320754716981 => 0.9811
16 - 0.8301886792452831 => 0.8302
17 - 0.9245283018867925 => 0.9245
18 - 0.9245283018867925 => 0.9245
19 - 0.8490566037735849 => 0.8491
20 - 0.8679245283018868 => 0.8679

KNN Ponderado Inverso da Distância Euclidiana (K=1)
1  - 0.8867924528301887 => 0.8866
2  - 0.9811320754716981 => 0.9811
3  - 0.8867924528301887 => 0.8866
4  - 0.8867924528301887 => 0.8866
5  - 0.9622641509433962 => 0.9623
6  - 0.8867924528301887 => 0.8866
7  - 0.9433962264150944 => 0.9434
8  - 0.8867924528301887 => 0.8866
9  - 0.9245283018867925 => 0.9245
10 - 0.9056603773584906 => 0.9057
11 - 0.8490566037735849 => 0.8491
12 - 0.9245283018867925 => 0.9245
13 - 0.9245283018867925 => 0.9245
14 - 0.7924528301886793 => 0.7925
15 - 0.9056603773584906 => 0.9057
16 - 0.9622641509433962 => 0.9623
17 - 0.8490566037735849 => 0.8491
18 - 0.9056603773584906 => 0.9057
19 - 0.8679245283018868 => 0.8679
20 - 0.9245283018867925 => 0.9245
